OriginFolder,SourceRoot,Files,Bytes,LibraryYearSpan,Methods
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\2,D: archive drive,8,250571,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\7,D: archive drive,8,244466,NoDate-NoDate,link=8
D:\Samsung S9+ Backup - Sep 2020\DCIM\Video trimmer,D: archive drive,1,240926,?,link=1
D:\Phone backup Jan 22\DCIM\Video trimmer,D: archive drive,1,240669,?,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\15,D: archive drive,16,240559,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\3,D: archive drive,9,238926,NoDate-NoDate,link=9
D:\work backup 2020\Documents\samsung backup\DCIM\Video trimmer,D: archive drive,1,238089,?,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\3,D: archive drive,5,236913,NoDate-NoDate,link=5
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Repo\Mindmaker\conclusiv\public,OneDrive,5,235169,NoDate-NoDate,copy=5
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Environment_I2C_BME280,D: archive drive,1,232907,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\7,D: archive drive,9,232587,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\16,D: archive drive,16,231451,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\2,D: archive drive,6,231382,NoDate-NoDate,link=6
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Light_I2C_TSL2561,D: archive drive,1,229700,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v1\Logos,OneDrive,1,229573,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\11,D: archive drive,9,228985,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\4,D: archive drive,11,224004,NoDate-NoDate,link=11
takeout-20260907T082613Z-1-002.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),663,223505,?,copy=663
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\1,D: archive drive,4,220814,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\12,D: archive drive,11,219578,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\14,D: archive drive,16,216720,NoDate-NoDate,link=16
D:\Samsung Backup\Card\WhatsApp\Media\WhatsApp Audio,D: archive drive,2,215893,?,link=2
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Signal-Noise,OneDrive,1,213546,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\2,D: archive drive,16,212460,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\1,D: archive drive,8,211186,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\4,D: archive drive,5,210286,NoDate-NoDate,link=5
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\2,D: archive drive,9,210207,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\3,D: archive drive,4,208166,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\6,D: archive drive,6,207758,NoDate-NoDate,link=6
G:\My Drive\Ventures\_Archive\Swaami,Google Drive (personal),4,206497,NoDate-NoDate,copy=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\4,D: archive drive,16,204400,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\1,D: archive drive,5,203048,NoDate-NoDate,link=5
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\2,D: archive drive,5,201514,NoDate-NoDate,link=5
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Compass_I2C_HMC6352,D: archive drive,1,199092,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\SimpleOutput,D: archive drive,1,198859,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Interrupt,D: archive drive,1,197741,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\5,D: archive drive,6,196623,NoDate-NoDate,link=6
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\0,D: archive drive,5,196374,NoDate-NoDate,link=5
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\5,D: archive drive,11,195235,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\4,D: archive drive,6,194558,NoDate-NoDate,link=6
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\8,D: archive drive,8,194129,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\3,D: archive drive,6,191804,NoDate-NoDate,link=6
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\3,D: archive drive,16,189988,NoDate-NoDate,link=16
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\PixelArray\data,D: archive drive,1,189436,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\9,D: archive drive,9,188667,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\1\5,D: archive drive,5,188244,NoDate-NoDate,link=5
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\8,D: archive drive,11,186481,NoDate-NoDate,link=11
G:\My Drive\Ventures\Active\Mindmaker\04_Content\ai-enabled-business-film-system-2026-08-29\02-growth-film\01-storyboard\growth-storyboard-r01\review,Google Drive (personal),1,186456,?,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\1,D: archive drive,16,182347,NoDate-NoDate,link=16
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\Touch_I2C_MPR121,D: archive drive,1,182280,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\11,D: archive drive,11,180892,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\10,D: archive drive,11,180128,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\6,D: archive drive,11,179764,NoDate-NoDate,link=11
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Brightness\data,D: archive drive,1,171759,NoDate-NoDate,link=1
C:\Users\krish\dev\fractionl-circle\test-results\brand-preview\front-door-the-front-door--7e527-duct-jargon-or-layout-leaks-desktop,C: system drive,2,170580,?,copy=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\0,D: archive drive,9,168951,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\0,D: archive drive,8,168529,NoDate-NoDate,link=8
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\10,D: archive drive,9,167540,NoDate-NoDate,link=9
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\9,D: archive drive,11,166898,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\13,D: archive drive,11,165213,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\7,D: archive drive,11,164397,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\2\1,D: archive drive,3,164232,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\0\4,D: archive drive,9,163325,NoDate-NoDate,link=9
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Facebook,D: archive drive,3,162142,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\3\1,D: archive drive,2,161661,NoDate-NoDate,link=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\2\1,D: archive drive,3,158534,NoDate-NoDate,link=3
D:\Samsung S9+ Backup - Sep 2020\Download\Programmatic Summit - Amobee marketing kit\Programmatic Summit - Amobee marketing kit,D: archive drive,2,156248,NoDate-NoDate,link=2
D:\Surface laptop backup Aug 2024\Downloads\Soulseek Downloads\complete\dravenxx6\1994 - Mortal Kombat - The Album,D: archive drive,3,153767,NoDate-NoDate,link=3
D:\work backup 2020\Downloads\processing\modes\java\reference\img,D: archive drive,4,151868,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\2\2,D: archive drive,3,151868,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\0,D: archive drive,4,151801,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\2\0,D: archive drive,3,149917,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\2\2,D: archive drive,3,147427,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\0,D: archive drive,16,147321,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\17,D: archive drive,16,146426,NoDate-NoDate,link=16
C:\Users\krish\OneDrive\Documents\full-time\public,OneDrive,1,145610,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\1,D: archive drive,6,144857,NoDate-NoDate,link=6
D:\Phone backup Jan 22,D: archive drive,1,143382,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Histogram\data,D: archive drive,1,143239,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\18,D: archive drive,16,142489,NoDate-NoDate,link=16
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\3,D: archive drive,11,138975,NoDate-NoDate,link=11
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Textures\TextureCube\data,D: archive drive,2,137744,?,link=2
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\SoftwareServoSweep,D: archive drive,2,136560,NoDate-NoDate,link=2
D:\work backup 2022\Documents\samsung s20 backup juune 2022\Whatsapp,D: archive drive,1,136422,?,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\14,D: archive drive,11,135629,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\2\4,D: archive drive,4,133847,NoDate-NoDate,link=4
C:\Users\krish\OneDrive\Documents\Pulse\dist,OneDrive,7,133665,NoDate-NoDate,copy=7
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\1\9,D: archive drive,8,133454,NoDate-NoDate,link=8
takeout-20260907T082613Z-1-001.zip!Takeout\Google Photos\Photos from 2019,Google Photos (Takeout),537,131756,NoDate-NoDate,copy=537
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\3\0,D: archive drive,2,130846,NoDate-NoDate,link=2
D:\work backup 2020\Downloads\processing\modes\java\examples\Basics\Image\Alphamask\data,D: archive drive,2,130841,NoDate-NoDate,link=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\1,D: archive drive,11,129332,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\2,D: archive drive,11,125341,NoDate-NoDate,link=11
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\7,D: archive drive,6,124201,NoDate-NoDate,link=6
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2015,Google Photos (Takeout),1,122052,?,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\2\3,D: archive drive,3,121159,NoDate-NoDate,link=3
D:\GoogleCloud\2026-09-05 23-00-54\13476658225\files\Media\WhatsApp Documents,D: archive drive,2,118486,?,link=2
takeout-20260907T082613Z-1-002.zip!Takeout\Google Photos\Photos from 2020,Google Photos (Takeout),524,112197,NoDate-NoDate,copy=524
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\0,D: archive drive,6,112051,NoDate-NoDate,link=6
takeout-20260907T082613Z-1-003.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),498,111017,?,copy=498
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\0\19,D: archive drive,16,110634,NoDate-NoDate,link=16
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v1\Logos\The Builder Economy,OneDrive,2,110098,NoDate-NoDate,copy=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\3\0,D: archive drive,2,107310,NoDate-NoDate,link=2
D:\Samsung Backup\Phone\Pictures\Messenger,D: archive drive,2,105640,NoDate-NoDate,link=2
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Empowerd,OneDrive,3,104833,NoDate-NoDate,copy=3
C:\Users\krish\dev\fractionl-circle\docs\mocks,C: system drive,3,100175,?,copy=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\2\0,D: archive drive,3,99013,NoDate-NoDate,link=3
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\3\1,D: archive drive,2,95200,NoDate-NoDate,link=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\15,D: archive drive,11,94953,NoDate-NoDate,link=11
C:\Users\krish\OneDrive\Documents\Soulseek Downloads\complete\musicmaster2023\VA - A Soulful Christmas,OneDrive,1,94301,NoDate-NoDate,copy=1
takeout-20260907T082613Z-1-001.zip!Takeout\Google Photos\Photos from 2020,Google Photos (Takeout),534,93474,NoDate-NoDate,copy=534
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\app OS summaries,OneDrive,1,92633,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\3\0,D: archive drive,2,92311,NoDate-NoDate,link=2
takeout-20260907T082613Z-1-003.zip!Takeout\Google Photos\Photos from 2026,Google Photos (Takeout),456,91764,NoDate-NoDate,copy=456
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Builder-Economy,OneDrive,4,91729,NoDate-NoDate,copy=4
D:\Samsung Backup\Card\WhatsApp\Profile Pictures,D: archive drive,2,89735,NoDate-NoDate,link=2
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Shaders\InfiniteTiles\data,D: archive drive,1,89708,NoDate-NoDate,link=1
G:\My Drive\Old Computer\Music\Documents\Fax\Inbox,Google Drive (personal),1,89534,NoDate-NoDate,copy=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\05_Assets\Logos,OneDrive,2,86016,NoDate-NoDate,copy=2
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\AnalogDigital_I2C_ADS1X15,D: archive drive,1,84648,NoDate-NoDate,link=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\0,D: archive drive,11,82963,NoDate-NoDate,link=11
D:\work backup 2022\Documents\Captify Logos,D: archive drive,2,82740,NoDate-NoDate,link=2
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Gender,D: archive drive,9,82119,NoDate-NoDate,link=9
C:\Users\krish\OneDrive\Pictures\1 Home & Personal\Receipts-Admin,OneDrive,4,81034,NoDate-NoDate,copy=4
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\makeyourmindup,OneDrive,2,80606,NoDate-NoDate,copy=2
D:\GoogleCloud\2026-09-05 23-00-54\13476658225\files\Media\WhatsApp Animated Gifs\Private,D: archive drive,1,76631,?,link=1
C:\Users\krish\cc-uxtest\profile\Default\Extensions\nmmhkkegccagdldgiimedpiccmgmieda\1.0.0.6_0\images,C: system drive,8,76190,?,copy=8
D:\work backup 2017,D: archive drive,1,70597,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\AnalogDigital_SPI_MCP3008,D: archive drive,1,70010,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\SimpleSPI,D: archive drive,1,67886,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Pictures\0 Ventures\Fractionl,OneDrive,3,66657,NoDate-NoDate,copy=3
D:\work backup 2020\Downloads\processing\modes\java\libraries\io\examples\SimpleResistorSensor,D: archive drive,1,65976,NoDate-NoDate,link=1
D:\Samsung Backup\Phone\WhatsApp\Media\WhatsApp Profile Photos,D: archive drive,1,62234,?,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\GUI\Scrollbar\data,D: archive drive,2,61230,NoDate-NoDate,link=2
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Blur\data,D: archive drive,1,60537,NoDate-NoDate,link=1
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\agimnkijcaahngcdmfeangaknmldooml\Icons,C: system drive,7,58955,?,copy=7
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tourist\3\1,D: archive drive,2,58504,NoDate-NoDate,link=2
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Zoom\data,D: archive drive,1,56999,?,link=1
D:\Samsung Backup\Phone\Memes,D: archive drive,1,55874,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Animation\AnimatedSprite\data,D: archive drive,96,53765,NoDate-NoDate,link=96
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\rail\3\2,D: archive drive,2,51243,NoDate-NoDate,link=2
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\aghbiahbpaijignceidepookljebhfak\Icons,C: system drive,7,49278,?,copy=7
C:\Users\krish\OneDrive\Documents\Soulseek Downloads\complete\musicmaster2023\VA_-_Christmas_Dance_Party_2024-2025_(Best_of_Dance_House_and_Electro)-(PDM1288)-WEB-2024-ZzZz,OneDrive,1,49135,NoDate-NoDate,copy=1
C:\Users\krish\dev\fractionl-circle\docs,C: system drive,2,48286,?,copy=2
D:\work backup 2016\documents\Presentation Collateral,D: archive drive,1,45922,?,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Shaders\ImageMask\data,D: archive drive,1,45841,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Image Processing\Explode\data,D: archive drive,1,44496,NoDate-NoDate,link=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Basics\Image\RequestImage\data,D: archive drive,12,44445,NoDate-NoDate,link=12
D:\work backup 2020\Downloads\processing\modes\java\reference\environment\images,D: archive drive,11,44432,NoDate-NoDate,link=11
takeout-20260907T082613Z-1-002.zip!Takeout\Google Photos\Photos from 2023,Google Photos (Takeout),520,44130,NoDate-NoDate,copy=520
D:\work backup 2020\Downloads\processing\java\lib\deploy,D: archive drive,4,43921,NoDate-NoDate,link=4
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Arrows,D: archive drive,29,43415,NoDate-NoDate,link=29
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Shaders\EdgeDetect\data,D: archive drive,1,43231,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\full-time\src\assets,OneDrive,2,42946,NoDate-NoDate,copy=2
takeout-20260907T082613Z-1-004.zip!Takeout\Google Photos\Photos from 2023,Google Photos (Takeout),561,42465,?,copy=561
D:\work backup 2020\Documents\Gracey\NIGHTLIFE OF AUSTRALIA,D: archive drive,1,42130,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\Soulseek Downloads\complete\Crosspatch\2024 - Soulful Christmas Hits,OneDrive,1,38366,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\com.espn.score_center\design05\i\clubhouse\badges,D: archive drive,21,38138,NoDate-NoDate,link=21
D:\work backup 2020\Downloads\processing\lib\toolbar,D: archive drive,51,37990,NoDate-NoDate,link=51
D:\Surface laptop backup Aug 2024\Downloads\Soulseek Downloads\complete\ribald\1991 - Soul Clap EP,D: archive drive,1,34747,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\v1\Logos\Techonomic,OneDrive,3,33627,NoDate-NoDate,copy=3
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\fmgjjmmmlfnkbppncabfkddbjimcfncm\Icons,C: system drive,7,32901,?,copy=7
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Shaders\Deform\data,D: archive drive,1,32675,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\Repo\Mindmaker\conclusiv\src\assets,OneDrive,1,29541,NoDate-NoDate,copy=1
takeout-20260907T082613Z-1-001.zip!Takeout\Google Photos\Failed Videos,Google Photos (Takeout),7,27555,?,copy=7
D:\Samsung S9+ Backup - Sep 2020\DCIM\Videocaptures,D: archive drive,1,27400,?,link=1
D:\work backup 2020\Documents\Platform Sales\Postr,D: archive drive,1,23919,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker-OS\_handover_build,OneDrive,1,22870,NoDate-NoDate,copy=1
D:\work backup 2020\Downloads\processing\modes\java\examples\Basics\Shape\LoadDisplayOBJ\data,D: archive drive,1,21635,NoDate-NoDate,link=1
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\upgrades\Downloads\adfixus-sales-quiz\dist,OneDrive,1,21335,NoDate-NoDate,copy=1
C:\Users\krish\OneDrive\Documents\Pulse\src\assets,OneDrive,1,21236,NoDate-NoDate,copy=1
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\0\16,D: archive drive,11,21033,NoDate-NoDate,link=11
C:\Users\krish\OneDrive\Pictures\0 Ventures\_Other\Rinoa,OneDrive,1,20966,NoDate-NoDate,copy=1
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\pommaclcbfghclhalboakcipcmmndhcj\Icons,C: system drive,7,19487,?,copy=7
D:\work backup 2020\Downloads\processing\lib\manager,D: archive drive,21,18358,NoDate-NoDate,link=21
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Weather,D: archive drive,12,18160,NoDate-NoDate,link=12
D:\work backup 2020\Documents\My Tableau Repository\Shapes\KPI,D: archive drive,12,17795,NoDate-NoDate,link=12
D:\work backup 2020\Documents\The Amobee Open 2020_files,D: archive drive,3,17762,NoDate-NoDate,link=3
takeout-20260907T082613Z-1-001.zip!Takeout\Google Photos\Photos from 2022,Google Photos (Takeout),854,16441,?,copy=854
C:\Users\krish\cc-uxtest\profile\Default\Extensions\lmjegmlicamnimmfhcmpkclmigmmcbeh\3.10_0\images,C: system drive,4,16359,?,copy=4
C:\Users\krish\OneDrive\Documents\0 Ventures\Mindmaker\upgrades\Downloads\adfixus-sales-quiz\dist\assets,OneDrive,1,14892,NoDate-NoDate,copy=1
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\fhihpiojkbmbpdjeoajapmgkhlnakfjf\Icons,C: system drive,7,14822,?,copy=7
takeout-20260905T201853Z-1-001.zip!Takeout\Google Photos\Photos from 2006,Google Photos (Takeout),1,14674,?,copy=1
takeout-20260907T082613Z-1-001.zip!Takeout\Google Photos\Photos from 2006,Google Photos (Takeout),1,14674,?,copy=1
C:\Users\krish\cc-uxtest\profile\Default\Extensions\fjoaledfpmneenckfbpdfhkmimnjocfa\5.6.1_0\icons,C: system drive,5,14204,?,copy=5
D:\work backup 2020\Documents\Processing\libraries\controlP5\reference\resources,D: archive drive,4,14154,NoDate-NoDate,link=4
D:\Samsung Backup\Card\Android\data\net.skyscanner.android.main\cache\www.skyscanner.com\images\airlines\favicon,D: archive drive,9,13826,NoDate-NoDate,link=9
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\mpnpojknpmmopombnjdcgaaiekajbnjb\Icons,C: system drive,7,12910,?,copy=7
C:\Users\krish\cc-uxtest\profile\Default\Web Applications\Manifest Resources\kefjledonklijopmnomlcbpllchaibag\Icons,C: system drive,7,12578,?,copy=7
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Ratings,D: archive drive,7,12184,NoDate-NoDate,link=7
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\1\8,D: archive drive,6,11854,NoDate-NoDate,link=6
D:\work backup 2020\Documents\Arduino\libraries\WeeESP8266\doc,D: archive drive,1,11452,NoDate-NoDate,link=1
D:\work backup 2020\Documents\Arduino\libraries\WeeESP8266\doc\API-html,D: archive drive,21,10386,NoDate-NoDate,link=21
D:\work backup 2020\Downloads\processing\modes\java\theme\completion,D: archive drive,8,9983,NoDate-NoDate,link=8
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Thin Arrows,D: archive drive,8,9703,NoDate-NoDate,link=8
D:\work backup 2016\documents\My Received Files,D: archive drive,1,8708,?,link=1
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Proportions,D: archive drive,5,7311,NoDate-NoDate,link=5
D:\work backup 2020\Downloads\processing\modes\java\theme,D: archive drive,2,7159,NoDate-NoDate,link=2
D:\Samsung Backup\Card\Android\data\cz.fhejl.pubtran.london\files\maps\tube\2\4,D: archive drive,3,5855,NoDate-NoDate,link=3
D:\work backup 2020\Downloads\processing\modes\java\examples\Basics\Structure\CreateGraphics\data,D: archive drive,2,5617,NoDate-NoDate,link=2
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Bars,D: archive drive,5,5514,NoDate-NoDate,link=5
D:\work backup 2020\Downloads\processing\modes\java\examples\Topics\Simulate\SmokeParticleSystem\data,D: archive drive,2,5383,NoDate-NoDate,link=2
C:\Users\krish\cc-uxtest\profile\Default\Extensions\ghbmnnjooekpmoecnnnilnnbdlolhkhi\1.106.1_0,C: system drive,1,5069,?,copy=1
D:\work backup 2020\Documents\My Tableau Repository\Shapes\Bug Tracking,D: archive drive,3,4954,NoDate-NoDate,link=3
D:\work backup 2020\Documents\Processing\libraries\controlP5\examples\controllers\ControlP5button\data,D: archive drive,3,3784,NoDate-NoDate,link=3
